time_s,ch4_ppm,temp_C,humidity_pct
0,2.3487,20.00,50.00
1,1.8101,20.01,50.14
2,1.8047,20.02,50.28
3,1.5650,20.03,50.42
4,1.2518,20.04,50.56
5,1.7736,20.05,50.70
6,1.6682,20.06,50.84
7,2.0831,20.07,50.97
8,1.3963,20.08,51.11
9,2.4141,20.09,51.25
10,2.0097,20.10,51.39
11,1.8292,20.11,51.53
12,1.6691,20.12,51.66
13,1.6434,20.13,51.80
14,1.5248,20.14,51.94
15,1.7313,20.15,52.07
16,1.9254,20.16,52.21
17,1.8626,20.17,52.34
18,1.4311,20.18,52.47
19,1.8345,20.19,52.60
20,1.6164,20.20,52.74
21,1.9864,20.21,52.87
22,2.5845,20.22,53.00
23,2.1521,20.23,53.13
24,1.8252,20.24,53.25
25,1.3675,20.25,53.38
26,1.4425,20.26,53.51
27,1.3488,20.27,53.63
28,2.1946,20.28,53.76
29,1.6742,20.29,53.88
30,1.9653,20.30,54.00
31,1.7271,20.31,54.12
32,1.9782,20.32,54.24
33,2.4383,20.33,54.36
34,1.7094,20.34,54.47
35,1.8312,20.35,54.59
36,1.6698,20.36,54.70
37,2.2595,20.37,54.81
38,1.5958,20.38,54.93
39,1.5597,20.39,55.03
40,1.4720,20.40,55.14
41,1.4661,20.41,55.25
42,2.1253,20.42,55.35
43,2.8611,20.43,55.46
44,1.6149,20.44,55.56
45,2.2977,20.45,55.66
46,2.0540,20.46,55.75
47,1.5818,20.47,55.85
48,1.8721,20.48,55.95
49,1.8888,20.49,56.04
50,1.7300,20.50,56.13
51,2.6488,20.51,56.22
52,1.3073,20.52,56.30
53,2.1092,20.53,56.39
54,2.0933,20.54,56.47
55,1.7758,20.55,56.55
56,2.0323,20.56,56.63
57,2.2886,20.57,56.71
58,2.0362,20.58,56.78
59,2.1302,20.59,56.86
60,2.2280,20.60,56.93
61,1.2757,20.61,57.00
62,2.5057,20.62,57.06
63,2.7870,20.63,57.13
64,2.3342,20.64,57.19
65,2.3471,20.65,57.25
66,1.5008,20.66,57.31
67,1.9535,20.67,57.36
68,1.7121,20.68,57.42
69,1.7922,20.69,57.47
70,2.3375,20.70,57.52
71,1.7190,20.71,57.56
72,1.9561,20.72,57.61
73,1.3350,20.73,57.65
74,1.9489,20.74,57.69
75,2.0372,20.75,57.73
76,1.7603,20.76,57.76
77,1.7563,20.77,57.79
78,2.6698,20.78,57.83
79,1.5875,20.79,57.85
80,1.6445,20.80,57.88
81,1.7303,20.81,57.90
82,2.4344,20.82,57.92
83,2.7516,20.83,57.94
84,2.1336,20.84,57.96
85,1.7676,20.85,57.97
86,1.8702,20.86,57.98
87,2.3939,20.87,57.99
88,1.7036,20.88,58.00
89,2.5323,20.89,58.00
90,2.5208,20.90,58.00
91,2.0508,20.91,58.00
92,2.2537,20.92,58.00
93,2.2912,20.93,57.99
94,2.5740,20.94,57.98
95,1.6632,20.95,57.97
96,2.4459,20.96,57.96
97,1.9024,20.97,57.94
98,1.7662,20.98,57.92
99,2.0721,20.99,57.90
100,1.9624,21.00,57.88
101,1.6930,21.01,57.85
102,1.4807,21.02,57.83
103,1.7113,21.03,57.79
104,2.5505,21.04,57.76
105,2.7303,21.05,57.73
106,2.2721,21.06,57.69
107,2.4608,21.07,57.65
108,1.8661,21.08,57.61
109,2.0211,21.09,57.56
110,2.1483,21.10,57.52
111,1.6720,21.11,57.47
112,1.7051,21.12,57.42
113,2.0868,21.13,57.36
114,1.9418,21.14,57.31
115,1.6828,21.15,57.25
116,2.1915,21.16,57.19
117,1.9652,21.17,57.13
118,2.4159,21.18,57.06
119,2.0578,21.19,57.00
120,10.6359,21.20,56.93
121,9.8830,21.21,56.86
122,11.6528,21.22,56.78
123,10.6410,21.23,56.71
124,9.1148,21.24,56.63
125,11.4061,21.25,56.55
126,9.6024,21.26,56.47
127,7.9761,21.27,56.39
128,12.4689,21.28,56.30
129,9.4751,21.29,56.22
130,9.0928,21.30,56.13
131,10.6721,21.31,56.04
132,7.7046,21.32,55.95
133,7.9828,21.33,55.85
134,9.6746,21.34,55.75
135,9.4348,21.35,55.66
136,9.8224,21.36,55.56
137,12.2209,21.37,55.46
138,9.7906,21.38,55.35
139,10.6426,21.39,55.25
140,11.2930,21.40,55.14
141,8.3036,21.41,55.03
142,10.8575,21.42,54.93
143,8.6915,21.43,54.81
144,11.3948,21.44,54.70
145,10.6642,21.45,54.59
146,9.8923,21.46,54.47
147,8.2637,21.47,54.36
148,10.3676,21.48,54.24
149,9.0405,21.49,54.12
150,10.9681,21.50,54.00
151,8.6869,21.51,53.88
152,8.9976,21.52,53.76
153,10.8201,21.53,53.63
154,11.2747,21.54,53.51
155,9.6810,21.55,53.38
156,11.9250,21.56,53.25
157,9.5780,21.57,53.13
158,9.6366,21.58,53.00
159,10.2811,21.59,52.87
160,8.8666,21.60,52.74
161,9.3059,21.61,52.60
162,9.5951,21.62,52.47
163,12.7847,21.63,52.34
164,12.3198,21.64,52.21
165,10.1131,21.65,52.07
166,12.3999,21.66,51.94
167,10.1177,21.67,51.80
168,10.6477,21.68,51.66
169,11.5988,21.69,51.53
170,10.8700,21.70,51.39
171,13.7413,21.71,51.25
172,10.2758,21.72,51.11
173,8.1519,21.73,50.97
174,12.6327,21.74,50.84
175,9.4665,21.75,50.70
176,9.6195,21.76,50.56
177,6.3415,21.77,50.42
178,11.9947,21.78,50.28
179,11.5370,21.79,50.14
180,11.1830,21.80,50.00
181,12.4070,21.81,49.86
182,12.7540,21.82,49.72
183,10.2921,21.83,49.58
184,11.4665,21.84,49.44
185,8.5961,21.85,49.30
186,9.1897,21.86,49.16
187,11.8435,21.87,49.03
188,10.8746,21.88,48.89
189,8.1556,21.89,48.75
190,10.2855,21.90,48.61
191,9.4032,21.91,48.47
192,8.8726,21.92,48.34
193,10.2935,21.93,48.20
194,9.9032,21.94,48.06
195,8.3034,21.95,47.93
196,9.5562,21.96,47.79
197,13.0470,21.97,47.66
198,7.7748,21.98,47.53
199,10.1954,21.99,47.40
200,9.8540,22.00,47.26
201,10.8966,22.01,47.13
202,8.3420,22.02,47.00
203,10.0528,22.03,46.87
204,10.5986,22.04,46.75
205,11.5462,22.05,46.62
206,9.3219,22.06,46.49
207,8.7278,22.07,46.37
208,12.1417,22.08,46.24
209,11.4115,22.09,46.12
210,10.5597,22.10,46.00
211,8.8161,22.11,45.88
212,11.3404,22.12,45.76
213,10.7973,22.13,45.64
214,11.6624,22.14,45.53
215,7.9568,22.15,45.41
216,10.4154,22.16,45.30
217,9.8743,22.17,45.19
218,8.6079,22.18,45.07
219,10.4343,22.19,44.97
220,10.4207,22.20,44.86
221,9.4559,22.21,44.75
222,11.0618,22.22,44.65
223,8.2184,22.23,44.54
224,10.0095,22.24,44.44
225,10.7760,22.25,44.34
226,10.4478,22.26,44.25
227,12.0352,22.27,44.15
228,8.3561,22.28,44.05
229,8.1103,22.29,43.96
230,10.4009,22.30,43.87
231,10.3319,22.31,43.78
232,13.5808,22.32,43.70
233,10.7159,22.33,43.61
234,9.1648,22.34,43.53
235,11.5083,22.35,43.45
236,8.3891,22.36,43.37
237,7.7108,22.37,43.29
238,13.7944,22.38,43.22
239,10.3794,22.39,43.14
240,10.8169,22.40,43.07
241,11.2706,22.41,43.00
242,12.7368,22.42,42.94
243,10.7422,22.43,42.87
244,11.8093,22.44,42.81
245,8.8146,22.45,42.75
246,7.9164,22.46,42.69
247,12.2539,22.47,42.64
248,12.5370,22.48,42.58
249,10.9525,22.49,42.53
250,10.3645,22.50,42.48
251,10.0576,22.51,42.44
252,9.2590,22.52,42.39
253,12.5473,22.53,42.35
254,11.0617,22.54,42.31
255,10.6614,22.55,42.27
256,10.9327,22.56,42.24
257,12.5847,22.57,42.21
258,10.8238,22.58,42.17
259,11.3959,22.59,42.15
260,8.6368,22.60,42.12
261,10.0390,22.61,42.10
262,13.4105,22.62,42.08
263,9.2000,22.63,42.06
264,10.4965,22.64,42.04
265,11.4019,22.65,42.03
266,11.3134,22.66,42.02
267,11.0268,22.67,42.01
268,7.9134,22.68,42.00
269,10.7296,22.69,42.00
270,8.4654,22.70,42.00
271,8.5299,22.71,42.00
272,10.9138,22.72,42.00
273,10.0415,22.73,42.01
274,12.0608,22.74,42.02
275,15.0068,22.75,42.03
276,11.4197,22.76,42.04
277,11.6600,22.77,42.06
278,9.2574,22.78,42.08
279,9.8492,22.79,42.10
280,9.0362,22.80,42.12
281,9.3853,22.81,42.15
282,8.7068,22.82,42.17
283,9.3049,22.83,42.21
284,10.0012,22.84,42.24
285,8.8182,22.85,42.27
286,7.8678,22.86,42.31
287,7.4887,22.87,42.35
288,10.6198,22.88,42.39
289,9.5746,22.89,42.44
290,11.7071,22.90,42.48
291,11.7115,22.91,42.53
292,9.1167,22.92,42.58
293,11.4080,22.93,42.64
294,8.4127,22.94,42.69
295,13.5371,22.95,42.75
296,12.5114,22.96,42.81
297,10.5392,22.97,42.87
298,8.0881,22.98,42.94
299,11.1086,22.99,43.00
300,2.3005,23.00,43.07
301,2.2924,23.01,43.14
302,2.4727,23.02,43.22
303,1.8937,23.03,43.29
304,1.9378,23.04,43.37
305,1.8555,23.05,43.45
306,1.8803,23.06,43.53
307,2.1098,23.07,43.61
308,1.6358,23.08,43.70
309,1.7776,23.09,43.78
310,2.3454,23.10,43.87
311,2.1181,23.11,43.96
312,2.2766,23.12,44.05
313,1.4810,23.13,44.15
314,1.8675,23.14,44.25
315,1.9471,23.15,44.34
316,2.1525,23.16,44.44
317,1.9355,23.17,44.54
318,2.4669,23.18,44.65
319,2.1195,23.19,44.75
320,2.1455,23.20,44.86
321,2.1438,23.21,44.97
322,2.3864,23.22,45.07
323,1.9731,23.23,45.19
324,2.5306,23.24,45.30
325,2.2983,23.25,45.41
326,2.1908,23.26,45.53
327,2.1510,23.27,45.64
328,2.3180,23.28,45.76
329,2.4908,23.29,45.88
330,2.4659,23.30,46.00
331,2.2660,23.31,46.12
332,2.4408,23.32,46.24
333,2.1748,23.33,46.37
334,2.5712,23.34,46.49
335,2.1230,23.35,46.62
336,1.4055,23.36,46.75
337,2.5995,23.37,46.87
338,2.1684,23.38,47.00
339,1.7202,23.39,47.13
340,2.0602,23.40,47.26
341,1.8196,23.41,47.40
342,2.8635,23.42,47.53
343,2.3020,23.43,47.66
344,1.5781,23.44,47.79
345,2.3177,23.45,47.93
346,1.9864,23.46,48.06
347,2.7962,23.47,48.20
348,1.7563,23.48,48.34
349,1.3376,23.49,48.47
350,2.1465,23.50,48.61
351,2.0009,23.51,48.75
352,1.9763,23.52,48.89
353,1.3720,23.53,49.03
354,2.2701,23.54,49.16
355,2.7057,23.55,49.30
356,1.4512,23.56,49.44
357,2.5286,23.57,49.58
358,1.9189,23.58,49.72
359,2.9394,23.59,49.86
