time_s,ch4_ppm,temp_C,humidity_pct
0,1.2455,20.00,50.00
1,1.6287,20.01,50.14
2,2.1650,20.02,50.28
3,1.9308,20.03,50.42
4,1.7340,20.04,50.56
5,2.2400,20.05,50.70
6,1.5452,20.06,50.84
7,2.0098,20.07,50.97
8,1.7374,20.08,51.11
9,1.6165,20.09,51.25
10,2.0767,20.10,51.39
11,1.5685,20.11,51.53
12,2.5831,20.12,51.66
13,1.7142,20.13,51.80
14,2.6168,20.14,51.94
15,1.5389,20.15,52.07
16,2.1353,20.16,52.21
17,1.5048,20.17,52.34
18,1.4567,20.18,52.47
19,1.9835,20.19,52.60
20,2.1662,20.20,52.74
21,1.4845,20.21,52.87
22,2.3464,20.22,53.00
23,1.6542,20.23,53.13
24,1.9807,20.24,53.25
25,2.0692,20.25,53.38
26,2.1458,20.26,53.51
27,1.3099,20.27,53.63
28,2.5070,20.28,53.76
29,2.1386,20.29,53.88
30,1.7945,20.30,54.00
31,1.5864,20.31,54.12
32,1.3533,20.32,54.24
33,1.4712,20.33,54.36
34,2.1399,20.34,54.47
35,1.8312,20.35,54.59
36,1.5559,20.36,54.70
37,1.7690,20.37,54.81
38,2.5023,20.38,54.93
39,1.8405,20.39,55.03
40,1.7531,20.40,55.14
41,2.4318,20.41,55.25
42,2.1221,20.42,55.35
43,1.9774,20.43,55.46
44,1.7506,20.44,55.56
45,1.4214,20.45,55.66
46,1.5564,20.46,55.75
47,1.7993,20.47,55.85
48,1.8920,20.48,55.95
49,2.0950,20.49,56.04
50,2.1648,20.50,56.13
51,2.0511,20.51,56.22
52,2.0516,20.52,56.30
53,1.6232,20.53,56.39
54,1.2231,20.54,56.47
55,1.7963,20.55,56.55
56,1.6461,20.56,56.63
57,1.7530,20.57,56.71
58,1.8867,20.58,56.78
59,1.5489,20.59,56.86
60,1.5968,20.60,56.93
61,1.9518,20.61,57.00
62,2.0288,20.62,57.06
63,1.7600,20.63,57.13
64,2.1653,20.64,57.19
65,1.9155,20.65,57.25
66,1.6367,20.66,57.31
